TransactionID,TransactionDate,FarmerID
1,2023-04-21,227
2,2023-05-09,676
3,2023-09-12,434
4,2022-05-04,474
5,2023-09-16,859
6,2023-02-14,929
7,2022-03-08,734
8,2022-10-03,841
9,2023-04-10,721
10,2022-11-15,212
11,2022-03-21,35
12,2023-02-01,48
13,2022-10-04,389
14,2022-03-09,930
15,2023-04-09,58
16,2022-12-10,787
17,2023-09-18,834
18,2023-01-24,744
19,2022-11-25,777
20,2023-04-03,635
21,2022-04-18,851
22,2022-07-24,282
23,2023-04-02,111
24,2022-06-09,480
25,2022-12-21,393
26,2022-10-21,678
27,2022-06-11,587
28,2023-08-20,841
29,2023-10-11,720
30,2023-10-04,359
31,2022-09-24,262
32,2023-02-26,611
33,2023-02-28,675
34,2023-03-13,286
35,2023-08-30,782
36,2023-08-23,576
37,2022-01-22,968
38,2023-03-29,800
39,2023-12-26,609
40,2022-05-28,832
41,2022-06-09,586
42,2022-11-03,456
43,2022-12-19,62
44,2022-04-06,651
45,2022-05-13,644
46,2023-02-01,917
47,2022-11-20,740
48,2023-02-04,996
49,2023-01-02,266
50,2022-03-31,670
51,2022-06-15,765
52,2023-02-26,878
53,2022-05-21,548
54,2022-09-17,84
55,2023-12-10,479
56,2023-02-04,70
57,2023-03-17,48
58,2023-09-26,821
59,2023-03-08,196
60,2022-07-19,149
61,2023-03-26,158
62,2022-07-27,885
63,2023-06-19,715
64,2023-11-22,996
65,2022-04-30,456
66,2023-02-20,707
67,2022-12-18,371
68,2023-01-19,703
69,2023-09-12,596
70,2022-06-23,369
71,2022-01-29,260
72,2022-06-12,28
73,2023-01-03,821
74,2023-10-24,93
75,2023-12-29,360
76,2022-08-08,603
77,2023-04-03,468
78,2023-05-14,374
79,2022-02-15,354
80,2023-02-08,468
81,2023-09-29,971
82,2022-07-23,920
83,2023-04-10,742
84,2023-06-13,95
85,2022-08-30,68
86,2022-06-06,2
87,2023-06-05,299
88,2023-09-21,117
89,2023-07-31,914
90,2022-06-20,888
91,2023-03-14,949
92,2022-05-30,947
93,2023-01-19,222
94,2023-10-27,566
95,2022-10-11,482
96,2022-08-14,605
97,2023-04-12,183
98,2022-02-04,487
99,2023-06-06,141
100,2022-04-26,383
101,2022-08-28,894
102,2023-10-21,128
103,2022-05-26,565
104,2022-04-19,848
105,2023-03-24,737
106,2022-11-21,684
107,2023-01-19,318
108,2023-09-17,4
109,2022-11-03,241
110,2023-09-01,969
111,2023-02-01,416
112,2022-12-17,915
113,2022-04-09,360
114,2022-09-27,925
115,2022-01-24,348
116,2022-03-28,566
117,2023-01-14,323
118,2022-08-07,691
119,2023-12-24,499
120,2022-04-17,69
121,2022-06-16,580
122,2023-08-11,842
123,2023-04-25,536
124,2023-08-28,210
125,2023-03-19,321
126,2022-08-22,243
