BarnID,FarmerID,BarnAddress,HasHayLoft
1,1,1519 High Crossing Way,1
2,2,08790 Riverside Court,0
3,3,44 Dixon Pass,0
4,4,31277 Emmet Circle,1
5,5,170 Pawling Avenue,0
6,6,8916 Vermont Lane,1
7,7,8 Jenifer Junction,0
8,8,0753 Luster Way,0
9,9,14447 Clemons Hill,1
10,10,14 Rusk Road,1
11,11,0 Hoard Pass,0
12,12,447 Thompson Trail,0
13,13,38 3rd Place,0
14,14,9795 Mitchell Hill,1
15,15,818 Cambridge Road,0
16,16,0 Norway Maple Crossing,0
17,17,649 Northfield Road,1
18,18,10 Dunning Hill,0
19,19,74 Brentwood Center,1
20,20,2605 Fair Oaks Avenue,1
21,21,58 Larry Parkway,1
22,22,0920 Nelson Plaza,1
23,23,55856 John Wall Avenue,1
24,24,82975 Wayridge Crossing,1
25,25,8 Butterfield Terrace,0
26,26,2 Springview Drive,0
27,27,029 Welch Terrace,0
28,28,6 Algoma Park,1
29,29,11571 Loomis Junction,0
30,30,98015 Evergreen Terrace,1
31,31,03 Bowman Street,0
32,32,2 Erie Court,0
33,33,87 Menomonie Drive,1
34,34,8129 Sloan Drive,0
35,35,4884 Dottie Center,0
36,36,58 Armistice Parkway,1
37,37,61232 Pine View Parkway,0
38,38,0 Mallory Parkway,0
39,39,78276 Basil Center,0
40,40,46 Meadow Vale Park,0
41,41,3467 Portage Center,0
42,42,718 Kings Point,0
43,43,50538 Anthes Crossing,0
44,44,0 Shelley Court,0
45,45,89865 Hazelcrest Center,0
46,46,206 Pennsylvania Lane,1
47,47,05 Victoria Plaza,0
48,48,52716 Carpenter Center,0
49,49,617 Twin Pines Terrace,1
50,50,7 Ronald Regan Alley,1
51,51,477 Porter Hill,0
52,52,40850 Stuart Circle,1
53,53,26 Rigney Junction,1
54,54,1 Raven Trail,1
55,55,5079 5th Parkway,1
56,56,44493 Russell Lane,1
57,57,2995 Doe Crossing Avenue,0
58,58,227 Iowa Point,0
59,59,3563 Emmet Trail,1
60,60,7313 Clarendon Avenue,0
61,61,49 Bashford Junction,1
62,62,805 Esch Junction,1
63,63,07 Bluestem Avenue,0
64,64,5 Lillian Junction,0
65,65,556 Eastwood Drive,0
66,66,045 3rd Point,0
67,67,9 Hintze Crossing,0
68,68,619 Nevada Plaza,1
69,69,5004 Pawling Street,0
70,70,57637 Starling Way,0
71,71,639 Homewood Parkway,1
72,72,90 Novick Lane,0
73,73,605 Vernon Center,0
74,74,7988 Shasta Way,0
75,75,4 Iowa Terrace,0
76,76,3961 Merchant Street,0
77,77,7 Weeping Birch Street,0
78,78,214 Jay Road,1
79,79,96686 Armistice Parkway,1
80,80,81 Bayside Park,1
81,81,3598 Mitchell Point,1
82,82,3 Canary Crossing,1
83,83,2 Lotheville Hill,0
84,84,53 Bowman Road,0
85,85,4 Scoville Park,0
86,86,92 Aberg Terrace,1
87,87,2 Coleman Place,0
88,88,4 Miller Lane,1
89,89,25 Buhler Pass,1
90,90,06 Farwell Junction,1
91,91,950 Springview Way,0
92,92,89 Rutledge Plaza,0
93,93,5 Sloan Center,1
94,94,66 Di Loreto Alley,1
95,95,89868 Melvin Way,0
96,96,502 Kennedy Street,0
97,97,6776 Bluejay Way,0
98,98,43535 Atwood Plaza,1
99,99,04 Ridgeway Way,0
100,100,74 Anzinger Pass,0
101,101,520 Fairfield Trail,1
